Livingston County,C+,Up from yesterday
Macomb County,C+,Up from yesterday
Wayne County,C+,Up from yesterday
Merrimack County,C+,Up from yesterday
Erath County,C+,Up from yesterday
Douglas County,C+,Up from yesterday
Marathon County,C+,Up from yesterday
Morgan County,C+,Up from yesterday
Sumter County,C+,Up from yesterday
Marin County,C+,Down from yesterday
Alamosa County,C+,Up from yesterday
Gilchrist County,C+,Up from yesterday
Iowa County,C+,Up from yesterday
Pratt County,C+,Up from yesterday
Berkshire County,C+,Down from yesterday
Queen Anne's County,C+,Up from yesterday
Houston County,C+,Down from yesterday
Dare County,C+,Down from yesterday
Oneida County,C+,Down from yesterday
Beadle County,C+,Up from yesterday
Beaver County,C+,Up from yesterday
Nelson County,C+,Down from yesterday
Whatcom County,C+,Down from yesterday
San Mateo County,C+,Up from yesterday
Butte County,C+,Up from yesterday
Kern County,C+,Up from yesterday
Mendocino County,C+,Up from yesterday
El Dorado County,C+,Up from yesterday
San Bernardino County,C+,Up from yesterday
Orange County,C+,Up from yesterday
Broomfield County,C+,Up from yesterday
Otero County,C+,Up from yesterday
Fairfield County,C+,Up from yesterday
New London County,C+,Up from yesterday
Osceola County,C+,Up from yesterday
Okeechobee County,C+,Up from yesterday
Broward County,C+,Up from yesterday
Chattahoochee County,C+,Up from yesterday
Placer County,C,Up from yesterday
Pueblo County,C,Up from yesterday
Benzie County,C,Down from yesterday
Salem County,C,Up from yesterday
Custer County,C,Up from yesterday
Gillespie County,C,Up from yesterday
Bethel Census Area,C,Down from yesterday
Stewart County,C,Down from yesterday
Comanche County,C,Down from yesterday
Martin County,C,Down from yesterday
